Year,ClimateEvent,Label,Value
1962,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.01
1963,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.03
1964,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1965,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1966,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.06
1967,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1968,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.03
1969,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.02
1970,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1971,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1972,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1973,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1974,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1975,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.02
1976,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.04
1977,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.07
1978,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.12
1979,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.16
1980,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.2
1981,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1982,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1983,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1984,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1985,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.22
1986,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.24
1987,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.27
1988,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.31
1989,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1990,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1991,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1992,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1993,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1994,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.34
1995,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.37
1996,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.4
1997,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.42
1998,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.44
1999,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.47
2000,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.5
2001,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.52
2002,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.55
2003,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.59
2004,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.61
2005,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.62
2006,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.63
2007,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.64
2008,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.64
2009,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.65
2010,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.65
2011,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.67
2012,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.7
2013,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.74
2014,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.79
2015,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.83
2016,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.88
2017,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.91
2018,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.95
2019,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.98
2020,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),1.01
1862,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.17
1863,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),285.35
1864,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),286.65
1867,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),285.05
1868,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),288.76
1870,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.16
1873,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),286.66
1874,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),291.56
1877,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),289.33
1880,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.77
1883,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),292.46
1884,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),289.49
1886,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),288.12
1887,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),294.34
1889,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),292.34
1890,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),290.92
1892,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.17
1893,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.09
1894,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),293.49
1899,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),296.16
1900,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),294.22
1902,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.61
1904,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.99
1905,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),299.02
1906,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),298.48
1909,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.5
1910,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),297.87
1911,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),298.36
1913,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.3
1914,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),300.7
1916,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.92
1918,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),303.85
1919,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.61
1920,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.88
1923,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.69
1925,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.84
1928,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),306.84
1929,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),305.62
1931,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),305.74
1932,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.26
1933,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),307.11
1934,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.35
1935,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),306.32
1936,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.3
1937,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),307.41
1938,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.07
1939,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.83
1940,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.38
1941,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),309.77
1942,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.37
1944,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.36
1945,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.94
1946,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.26
1947,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.61
1948,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.57
1949,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),309.69
1950,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.83
1952,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.18
1954,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.73
1955,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),314.71
1956,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1957,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1958,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1959,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.97
1960,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),316.91
1961,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),317.64
1962,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),318.45
1963,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),318.99
1964,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),319.62
1965,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),320.04
1966,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),321.38
1967,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),322.16
1968,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),323.04
1969,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),324.62
1970,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),325.68
1971,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),326.32
1972,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),327.45
1973,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),329.68
1974,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),330.18
1975,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),331.11
1976,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),332.04
1977,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),333.83
1978,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),335.4
1979,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),336.84
1980,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),338.75
1981,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),340.11
1982,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),341.45
1983,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),343.05
1984,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),344.65
1985,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),346.12
1986,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),347.42
1987,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),349.19
1988,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),351.57
1989,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),353.12
1990,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),354.39
1991,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),355.61
1992,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),356.45
1993,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),357.1
1994,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),358.83
1995,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),360.82
1996,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),362.61
1997,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),363.73
1998,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),366.7
1999,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),368.38
2000,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),369.55
2001,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),371.14
2002,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),373.28
2003,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),375.8
2004,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),377.52
2005,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),379.8
2006,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),381.9
2007,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),383.79
2008,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),385.6
2009,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),387.43
2010,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),389.9
2011,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),391.65
2012,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),393.85
2013,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),396.52
2014,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),398.65
2015,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),400.83
2016,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),404.24
2017,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),406.55
2018,Atmopsheric Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),408.52
1979,Average Arctic Ice Area in September,Million Square Kilometres,4.58
1980,Average Arctic Ice Area in September,Million Square Kilometres,4.87
1981,Average Arctic Ice Area in September,Million Square Kilometres,4.44
1982,Average Arctic Ice Area in September,Million Square Kilometres,4.43
1983,Average Arctic Ice Area in September,Million Square Kilometres,4.7
1984,Average Arctic Ice Area in September,Million Square Kilometres,4.11
1985,Average Arctic Ice Area in September,Million Square Kilometres,4.23
1986,Average Arctic Ice Area in September,Million Square Kilometres,4.72
1987,Average Arctic Ice Area in September,Million Square Kilometres,5.64
1988,Average Arctic Ice Area in September,Million Square Kilometres,5.36
1989,Average Arctic Ice Area in September,Million Square Kilometres,4.86
1990,Average Arctic Ice Area in September,Million Square Kilometres,4.55
1991,Average Arctic Ice Area in September,Million Square Kilometres,4.51
1992,Average Arctic Ice Area in September,Million Square Kilometres,5.43
1993,Average Arctic Ice Area in September,Million Square Kilometres,4.58
1994,Average Arctic Ice Area in September,Million Square Kilometres,5.13
1995,Average Arctic Ice Area in September,Million Square Kilometres,4.43
1996,Average Arctic Ice Area in September,Million Square Kilometres,5.62
1997,Average Arctic Ice Area in September,Million Square Kilometres,4.89
1998,Average Arctic Ice Area in September,Million Square Kilometres,4.3
1999,Average Arctic Ice Area in September,Million Square Kilometres,4.29
2000,Average Arctic Ice Area in September,Million Square Kilometres,4.35
2001,Average Arctic Ice Area in September,Million Square Kilometres,4.59
2002,Average Arctic Ice Area in September,Million Square Kilometres,4.03
2003,Average Arctic Ice Area in September,Million Square Kilometres,4.05
2004,Average Arctic Ice Area in September,Million Square Kilometres,4.39
2005,Average Arctic Ice Area in September,Million Square Kilometres,4.07
2006,Average Arctic Ice Area in September,Million Square Kilometres,4.01
2007,Average Arctic Ice Area in September,Million Square Kilometres,2.82
2008,Average Arctic Ice Area in September,Million Square Kilometres,3.26
2009,Average Arctic Ice Area in September,Million Square Kilometres,3.76
2010,Average Arctic Ice Area in September,Million Square Kilometres,3.34
2011,Average Arctic Ice Area in September,Million Square Kilometres,3.21
2012,Average Arctic Ice Area in September,Million Square Kilometres,2.41
2013,Average Arctic Ice Area in September,Million Square Kilometres,3.78
2014,Average Arctic Ice Area in September,Million Square Kilometres,3.74
2015,Average Arctic Ice Area in September,Million Square Kilometres,3.42
2016,Average Arctic Ice Area in September,Million Square Kilometres,2.91
2017,Average Arctic Ice Area in September,Million Square Kilometres,3.35
2018,Average Arctic Ice Area in September,Million Square Kilometres,3.35
2019,Average Arctic Ice Area in September,Million Square Kilometres,3.17
2020,Average Arctic Ice Area in September,Million Square Kilometres,2.78
2002,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-6.8
2003,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-115.8
2004,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-263.1
2005,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-229.2
2006,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-130.8
2007,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-317.2
2008,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-587.9
2009,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-563.1
2010,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-841.6
2011,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-940.1
2012,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-1074.8
2013,Antarctica Glacier Mass Variation,Antarctica Mass Lost since 2001 (Gigatons),-1285.1
